group,subjectid,block,trial,latency,accuracy,task,tasksequence
BI_C_Digit,9.0,3.0,37,424.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,38,585.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,39,629.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,40,1199.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,41,1421.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,42,3524.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,43,973.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,44,990.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,45,607.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,46,398.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,47,415.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,48,1751.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,49,925.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,50,601.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,51,930.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,52,446.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,53,671.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,54,1675.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,55,1061.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,56,1780.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,57,838.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,58,467.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,59,698.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,60,1026.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,61,1402.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,62,540.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,63,674.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,64,780.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,65,890.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,66,606.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,67,1458.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,68,541.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,69,1519.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,70,768.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,71,866.0,0.0,3.0,CBA
BI_C_Digit,9.0,3.0,72,3775.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,73,1596.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,74,1262.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,75,519.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,76,525.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,77,700.0,1.0,2.0,ABA
