rt,trial_index,subjectHandedness,subjectAge,subjectGender,key_press,correct_choice,coherent_movement_direction,coherence_movement,coherence_orientation,task,block,subject_id,accuracy,moving_up,moving_down,pointing_up,pointing_down
1180.0,64,r,23,m,70.0,j,270.0,65.0,50.0,movement,1.0,2,0,35.0,65.0,50.0,50.0
1020.0,67,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
772.0,70,r,23,m,74.0,f,90.0,65.0,50.0,movement,1.0,2,0,65.0,35.0,50.0,50.0
1134.0,73,r,23,m,70.0,j,270.0,65.0,50.0,movement,1.0,2,0,35.0,65.0,50.0,50.0
1361.0,76,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1262.0,79,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1123.0,82,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
1115.0,85,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1163.0,88,r,23,m,74.0,f,90.0,65.0,50.0,movement,1.0,2,0,65.0,35.0,50.0,50.0
1250.0,91,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
937.0,94,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1132.0,97,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
1043.0,100,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
1655.0,103,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1082.0,106,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1381.0,109,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
1640.0,112,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
1326.0,115,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1271.0,118,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
1717.0,121,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1110.0,124,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
964.0,127,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
1072.0,130,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1209.0,133,r,23,m,74.0,f,90.0,65.0,50.0,movement,1.0,2,0,65.0,35.0,50.0,50.0
1044.0,136,r,23,m,74.0,j,270.0,65.0,50.0,movement,1.0,2,1,35.0,65.0,50.0,50.0
1163.0,139,r,23,m,70.0,j,270.0,65.0,50.0,movement,1.0,2,0,35.0,65.0,50.0,50.0
